,0,1,2
0,만드리곤드레밥,35.177387,128.95245
1,만호갈미 샤브샤브,35.101425,128.92914
2,민물가든,35.16055,128.89468
3,부흥식당,35.085815,129.04071
4,가야할매밀면,35.185196,129.07988
5,국제밀면,35.19689,129.07785
6,물꽁식당,35.104504,129.0244
7,부산명물횟집,35.09714,129.0312
8,원조한양족발,35.099903,129.02715
9,이재모피자,35.102104,129.0306
10,거대갈비,35.161617,129.16696
11,금수복국 본점,35.16243,129.1645
12,다온,35.158123,129.14853
13,동백섬횟집,35.160427,129.15468
14,르꽁비브,35.176777,129.12552
15,문스시,35.17031,129.16615
16,예이제,35.16123,129.16664
17,원조석대추어탕,35.2195,129.12512
18,원조할매복국,35.160915,129.17152
19,젠스시,35.170826,129.1715
20,옛날 오막집,35.108913,129.0199
21,평안도족발,35.161945,129.16637
22,한우숯불양곱창,35.165897,129.17079
23,쌍둥이돼지국밥,35.131783,129.09239
24,이층집 564-9,35.13028,129.10002
25,초원복국 대연본점,35.137794,129.10591
26,석화한정식,35.13881,129.06189
27,함경면옥,35.20263,129.08307
28,영변횟집,35.1808,129.20293
29,방코,35.11546,128.92226
30,얼크니손칼국수(기장본점),35.255756,129.21614
31,곤국,35.1477,129.06758
32,다이닝센 부산본점,35.124435,129.11235
33,오륙도 가원,35.106773,129.11171
34,한우랑,35.130306,129.0949
35,해남식당,35.134193,129.11122
36,금강만두,35.196102,129.06027
37,고을산채,35.093414,129.0448
38,석화정,35.077095,129.07231
39,북경,35.18377,129.08086
40,연산낙지해물탕,35.182316,129.10692
41,웰빙여행,35.181526,129.07504
42,옻바다전복 삼계탕,35.18473,129.08128
43,참참부자,35.185333,129.08035
44,팔미초밥,35.184906,129.0818
45,남촌,35.21074,129.00595
46,북경의자전거,35.230934,129.00957
47,식당 3선(덕천점),35.21927,129.00708
48,함경면옥,35.21178,129.00423
49,디에이블 송도점,35.076706,129.01715
50,몽실종가돼지국밥,35.10016,129.01721
51,식당 토성동,35.097954,129.02257
52,청죽,35.11293,129.01305
53,편의방,35.11915,129.01625
54,동원장수촌,35.10194,128.97113
55,포항가자미물회,35.169525,128.98228
56,괘법쭈꾸미,35.163906,128.98459
57,광명집,35.125664,129.10095
58,명지첫집,35.095818,128.92444
59,드마히니 더블유스퀘어점,35.13426,129.11124
60,명품외식 육면정,35.148415,129.09482
61,호포갈비 문현점,35.13401,129.06631
62,평산옥,35.114292,129.0371
63,공감식당,35.16551,129.03838
64,다옴 (서면 삼정타워점),35.152874,129.05957
65,당감밀면,35.162247,129.03975
66,더브릭하우스,35.15917,129.0585
67,버거샵,35.15856,129.06306
68,소수인,35.156704,129.05385
69,양평칼국수,35.048454,128.967
70,영진돼지국밥,35.09664,128.95784
71,신흥반점,35.09595,129.02463
72,동원 숯불 갈비,35.188595,129.09715
73,도날드 즉석 떡볶이,35.085815,129.04295
74,영도우,35.08781,129.06128
75,함흥보쌈,35.08845,129.04108
76,원산면옥,35.098976,129.03105
77,개미집신도시점,35.167637,129.17154
78,오리한상,35.097855,128.92471
79,"오,유미당",35.241432,129.08784
80,만포밀면,35.245934,129.21597
81,맛사랑채,35.24538,129.2147
82,우정까망촌돼지,35.08081,128.97154
83,유메,35.105747,128.96916
84,금랑횟집 광안리 본점,35.155155,129.131
85,난파센,35.14674,129.11339
86,화국반점,35.10253,129.0342
87,로얄경양식&스테이크 광안점,35.153294,129.12462
88,이정태 본참치,35.1054,129.03531
89,무궁화 식당,35.14778,129.10925
90,어가초밥,35.097214,129.02882
91,배꼽시계,35.30255,129.24944
92,배가왕,35.15554,129.13087
93,삼정횟집,35.10655,129.03775
94,변소영 백년밥상,35.245594,129.2147
95,사랑도 횟집,35.247726,129.21346
96,삼송초밥,35.099655,129.02986
97,솔리보,35.26711,129.23145
98,부산족발,35.099598,129.02664
99,시티바캉스,35.15693,129.11592
100,PHOever Yum(포에버얌),35.282776,129.2583
101,물레방아 즉석구이,35.10104,129.03513
102,양귀빈 식당 3호점,35.163265,129.116
103,고민끝에여기,35.112698,129.03706
104,명송초밥,35.101738,129.03586
105,다께,35.138863,129.06076
106,남포삼계탕,35.098812,129.03049
107,지에이비148,35.145763,129.11497
108,대수정,35.140755,129.06291
109,목장원,35.07162,129.05736
110,톤쇼우,35.15631,129.12474
111,그라치에,35.089043,129.06154
112,황해도,35.1407,129.109
113,프라한,35.146706,129.11386
114,동촌황정순수육전골,35.13937,129.06071
115,소우닭계,35.13942,129.0646
116,양지추어탕,35.130672,129.04565
117,오스테리아비비,35.12526,129.03906
118,웅복,35.130657,129.0478
119,초량통닭,35.118904,129.03996
120,코카모메 초량점,35.116886,129.0351
121,홍성방,35.113834,129.03781
122,가두리닭숯불구이,35.204994,129.07947
123,먹음직,35.19219,129.1003
124,미미루,35.219486,129.08296
125,밀보스79,35.2058,129.08028
126,순이네곱창,35.198902,129.09865
127,세연정,35.20514,129.07704
128,조방낙지마당,35.19913,129.05907
129,초록담미역국,35.194927,129.05786
130,타이빈,35.216263,129.0773
131,경찰서 옆 초밥집,35.159702,129.05392
132,동백아가씨1961,35.158566,129.064
133,로위버거,35.156338,129.06004
134,장어촌,35.15863,129.05667
135,전통음식점 원양,35.172222,129.06995
136,항정살구공탄,35.165436,129.03777
137,금용,35.205463,128.99666
138,웅천집,35.26257,129.0153
139,이종임 전복뚝배기,35.230835,129.00897
140,평양집,35.212116,129.00589
141,대왕불맛,35.17614,128.99005
142,올리브장작,35.162926,128.98746
143,전골[그집],35.149475,129.00208
144,하오츠,35.155018,128.99106
145,함양본가어탕국수,35.159695,128.98518
146,오공떵번,35.105663,128.9738
147,옥미아구찜 하단점,35.105244,128.9706
148,우연횟집,35.11137,128.96355
